;Destino;Pais;Descrição;Hospedagem;Passagem;Pais_pt;Pais_en;Currency;ISO Code
77;Ladakh;Índia;O azul-escuro do céu, em contraste com as cores das formações rochosas desse deserto a 4 mil metros de altitude no Himalaia indiano, transforma até mesmo as fotos mais amadoras em obras de arte. No extremo norte da Índia, fazendo fonteira com o Tibete e com a região conflituosa de Kashmir, é o único lugar da Índia que se pode afirmar com certeza ser livre de muvucas. É praticamente inacessível no inverno: tem algumas passagens de montanhas mais altas do mundo. Merece semanas de exploração a bordo de um 4x4. Traga muitos cartões de memória para sua câmera. Para se ter uma ideia do isolamento geográfico do Ladakh, vale lembrar que as únicas estradas que ligam a região ao resto do país ficam abertas apenas três meses por ano, no verão e início do outono. Nos demais, estão cobertas por metros de gelo. Para quem busca aventura, o Ladakh tem trilhas para trekking, corredeiras para rafting e paredes para escalada.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Leh+Ladakh%2C+%C3%8Dndia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;map=1&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=+Ladakh&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=7064&amp;dest_type=region&amp;place_id_lat=34.185663&amp;place_id_lon=77.634043&amp;search_pageview_id=344e92a3ad620131&amp;search_selected=true&amp;search_pageview_id=344e92a3ad620131&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0#map_opened"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Ladakh</em></a>";<em>Busque passagens aéreas para Manali</em>;Índia;India;Indian rupee;INR
78;Isfahan;Irã;“Quem conhece Isfahan conhece metade do mundo.” O dito, tornado lenda na região, dá a medida da beleza dessa cidade no coração da Pérsia Antiga. A frase tem um complemento: Isfahan teria, na verdade, metade das belezas do mundo. Talvez seja um exagero, um arroubo poético, mas o excesso é amplamente desculpável. Isfahan é mesmo um destino extraordinário, a joia máxima da arte e da arquitetura islâmicas. Mesquitas decoradas com detalhados mosaicos de azulejos, palácios monumentais, a famosa Praça Imã Khomeini, bulevares arborizados à margem do Rio Zayandeh, diversas pontes. Eis os componentes do mais belo cenário do Irã, a 400 quilômetros da capital Teerã. Se o país ainda assusta pelos rigores do Estado teocrático e por seus vetos comportamentais, é de destacar que, para o turista, o Irã é barato, tem boa comida, gente hospitaleira (característica sublinhada nos relatos dos viajantes desde Marco Polo), e, ao contrário do que usualmente se crê, é seguro.  É preciso ter visto para entrar no país. Deve ser solicitado à Embaixada do Irã em Brasília com pelo menos um mês de antecedência.;"<a href=""https://www.skyscanner.com.br/transporte/passagens-aereas/saoa/ika/?adults=1&amp;children=0&amp;adultsv2=1&amp;childrenv2=&amp;infants=0&amp;cabinclass=economy&amp;rtn=1&amp;preferdirects=false&amp;outboundaltsenabled=false&amp;inboundaltsenabled=false&amp;ref=home&amp;oym=1808&amp;selectedoday=01&amp;iym=1809&amp;selectediday=01&amp;associateid=API_B2B_18534_00001&amp;utm_medium=b2b&amp;utm_campaign=flights&amp;utm_source=viagem%20e%20turismo%20flight%20referrals"" rel=""noopener"" target=""_blank""><em>Busque passagens aérea para Teerã</em></a>";<em>Busque passagens aérea para Teerã</em>;Irã;Iran;Iranian rial;IRR
79;Jerusalém;Israel;Local sagrado das três grandes religiões monoteístas, tem o condão de encantar até mesmo quem não é judeu, cristão ou muçulmano. A cidade murada de 3 mil anos tem um histórico de guerras e disputas que parece jamais cessar. Do alto do bairro judeu se avistam o Muro das Lamentações e a cúpula dourada do Domo da Rocha. Lá, quando o sol se põe, dá para ver os judeus fazendo suas preces e ouvir pelos alto-falantes dos minateres das mesquitas o chamado para as orações dos muçulmanos. Tudo isso ao mesmo tempo, dos dois lados da muralha. A maioria das operadoras combina o roteiro com a Jordânia ou Turquia.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D100%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DIr%25C3%25A3%3Bss_all%3D0%3Bss_raw%3DIr%25C3%25A3%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3D%25C3%258Dndia%26%3B&amp;ss=Jerusal%C3%A9m%2C+%E2%80%8BDistrito+de+Jerusal%C3%A9m%2C+%E2%80%8BIsrael&amp;ssne=Ir%C3%A3&amp;ssne_untouched=Ir%C3%A3&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Jerusal%C3%A9m&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=900000000&amp;dest_type=city&amp;search_pageview_id=b2307cfef0a20291&amp;search_selected=true&amp;search_pageview_id=b2307cfef0a20291&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Jerusalém</em></a>";<em>Busque passagens aéreas para Jerusalém</em>;Israel;Israel;Israeli new shekel;ILS
80;Koh Phi Phi;Tailândia;Rodeada por penhascos rochosos, a ilha onde fica a praia do filme de Leo DiCaprio é representação possível do Shangri-lá. Apesar da superlotação na alta temporada, ir à Tailândia e não passar por Phi Phi pode ser um pecado. Não há aeroporto na ilha. Chega-se partindo de outros balneários turísticos, como Phuket e Krabi, em barcos que demoram cerca de uma hora e meia. A melhor época é entre novembro e fevereiro. De junho a outubro, as monções estão com tudo – e é água o dia inteiro.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Koh+Phi+Phi+Don%2C+Province+de+Krabi%2C+Tha%C3%AFlande&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=+Koh+Phi+Phi&amp;ac_position=0&amp;ac_langcode=fr&amp;dest_id=900040301&amp;dest_type=city&amp;place_id_lat=7.73951&amp;place_id_lon=98.779404&amp;search_pageview_id=8046934d13b001d2&amp;search_selected=true&amp;search_pageview_id=8046934d13b001d2&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Koh Phi Phi</em></a>";<em>Busque passagens aéreas para Bangkok</em>;Tailândia;Thailand;Thai baht;THB
81;Luang Prabang;Laos;Com densa floresta equatorial, lindos templos budistas e o Rio Mekong a banhá-la, virou Meca mochileira. A cidade tem apenas duas ruas principais, onde estão os melhores restaurantes. A culinária do Laos tem menos pimenta que em outros lugares do sudeste asiático e, por isso, costuma fazer mais sucesso entre os brasileiros. Para começar o dia, a pedida é tomar o café da manhã no JoMa, que serve bons croissants, pães e muffins. O Coconut Garden e o eclético L´Elephant completam com as melhores opções locais.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bclass_interval%3D1%3Bdest_id%3D900040301%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DKoh%2520Phi%2520Phi%2520Don%252C%2520Province%2520de%2520Krabi%252C%2520Tha%25C3%25AFlande%3Bss_all%3D0%3Bss_raw%3DKoh%2520Phi%2520Phi%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Luang+Prabang%2C+Laos&amp;ssne=Phi+Phi+Don&amp;ssne_untouched=Phi+Phi+Don&amp;city=900040301&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=Luang+Prabang&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-2665957&amp;dest_type=city&amp;iata=LPQ&amp;place_id_lat=19.885599&amp;place_id_lon=102.135002&amp;search_pageview_id=8a2993f4e65100a2&amp;search_selected=true&amp;search_pageview_id=8a2993f4e65100a2&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em </em><em> Luang Prabang</em></a>";<em>Busque passagens aéreas para Luang Prabang</em>;Laos;Laos;Lao kip;LAK
82;Taj Mahal;Índia;Construído no século 17, o maior monumento do mundo dedicado a uma mulher leva 3 milhões de visitantes todos os anos a Agra. Ao contrário do que a maioria pensa, Agra é uma cidade grande (tem 1,5 milhão de habitantes). Mas é sem graça - poderia ser ignorada se não fosse o Taj Mahal. Sendo assim, talvez não seja o local ideal para se hospedar. A forma mais indicada de chegar é numa viagem de duas horas a partir de Nova Delhi. Diversos trens fazem o percurso.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Agra%2C+Prov%C3%ADncia+de+Uttar+Pradesh%2C+%C3%8Dndia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=Agra&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-2088244&amp;dest_type=city&amp;place_id_lat=27.179533&amp;place_id_lon=78.016396&amp;search_pageview_id=1184956ce658009a&amp;search_selected=true&amp;search_pageview_id=1184956ce658009a&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Agra</em></a>";<em>Busque passagens aéreas para Deli</em>;Índia;India;Indian rupee;INR
83;Tóquio;Japão;O inescapável clichê: o mais moderno a envolver o ancestral. Do trem-bala ao teatro nô, das megastores aos templos de Asakusa. O maior “problema” de Tóquio quase todo mundo já sabe: ao menos que você decida se hospedar em um hotel de luxo, é bom se preparar para o tamanho limitado dos quartos. A maioria tem teto baixo, forçando os mais altos a se curvarem ao entrar. Lembre-se que o preço é salgado.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D98%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3D%25C3%258Dndia%3Bss_all%3D0%3Bss_raw%3D%25C3%258Dndia%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DLaos%26%3B&amp;ss=T%C3%B3quio%2C+%E2%80%8BTokyo+Prefecture%2C+%E2%80%8BJap%C3%A3o&amp;ssne=%C3%8Dndia&amp;ssne_untouched=%C3%8Dndia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=T%C3%B3quio&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-246227&amp;dest_type=city&amp;search_pageview_id=88c17d34cf960297&amp;search_selected=true&amp;search_pageview_id=88c17d34cf960297&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Tóquio </em></a>";<em>Busque passagens aéreas para Tóquio</em>;Japão;Japan;Japanese yen;JPY
84;Bali;Indonésia;A mais friendly das 17 mil ilhas do país. Hinduísta em uma nação muçulmana, é o eldorado dos surfistas e tem spas e restaurantes de fama mundial. A culinária balinesa é exótica e deliciosa. Os pratos do dia a dia variam do mie goren (arroz com verduras, frutos do mar ou carne), nasigoreng (o mesmo prato em versão noodles) e o ikangoreng (peixe frito). Come-se muito bem por menos de US$ 5 nos warungs (estabelecimentos simples). O Casa Luna  tem reputação por seus pães, tortas e bolos e o Rumors, com mesas disputadas, é a sensação local: serve um prato de 500 gramas de lagosta, além dos coquetéis de frutas e da cerveja sempre gelada.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Bali%2C+%E2%80%8BIndon%C3%A9sia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Bali+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=835&amp;dest_type=region&amp;search_pageview_id=88c17d4b2038000a&amp;search_selected=true&amp;search_pageview_id=88c17d4b2038000a&amp;ac_suggestion_list_length=8&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0&amp;map=1"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Bali </em></a>";"<a href=""https://www.skyscanner.com.br/transporte/passagens-aereas/saoa/dps/?adults=1&amp;children=0&amp;adultsv2=1&amp;childrenv2=&amp;infants=0&amp;cabinclass=economy&amp;rtn=1&amp;preferdirects=false&amp;outboundaltsenabled=false&amp;inboundaltsenabled=false&amp;ref=home&amp;oym=1903&amp;selectedoday=01&amp;iym=1904&amp;selectediday=01&amp;associateid=API_B2B_18534_00001&amp;utm_medium=b2b&amp;utm_campaign=flights&amp;utm_source=viagem%20e%20turismo%20flight%20referrals"" rel=""noopener"" target=""_blank"">Busque passagens aéreas para Bali</a>";Indonésia;Indonesia;Indonesian rupiah;IDR
85;Manihi;Polinésia Francesa;Vertigem, muita vertigem. Foi o que senti ao mergulhar nas águas desse pequeno atol da Polinésia Francesa, a 520 quilômetros do Tahiti. Nunca fui um grande nadador, mas aquelas águas me seduziram como o canto de uma sereia. De repente eu boiava na imensidão azul, seguindo cardumes de peixes de cores quentes. O contraste me fazia personagem de uma animação em 3-D. Ao olhar para baixo e perceber que a profundidade superava os 30 metros e que a visibilidade ampliava em muito essa medida, fiquei tonto. Eu parecia flutar no ar. Um brasileiro se deixar impressionar por uma praia é um indicador fiel de qualidade. Manihi, com seu shape de paraíso publicitário, tem todos aqueles coqueiros que a gente imagina, mais bangalôs com fundo de vidro sobre o mar e um clima de lua de mel constante. O pequeno atol de menos de mil habitantes é também um dos poucos lugares da Terra onde se encontram as pérolas negras. Vá muito bem acompanhado – o Pacífico faz o resto. O principal aeroporto da Polinésia fica na capital, Papeete. De lá saem aviões e barcos para as outras ilhas. É sempre mais barato comprar um pacote que inclua passagem, hospedagem e passeios.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D3975%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DManihi%252C%2520%25E2%2580%258BPolin%25C3%25A9sia%2520Francesa%3Bss_all%3D0%3Bss_raw%3DManihi%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DBali%26%3B&amp;ss=Polin%C3%A9sia+Francesa&amp;ssne=Manihi&amp;ssne_untouched=Manihi&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Polin%C3%A9sia+Francesa&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=75&amp;dest_type=country&amp;search_pageview_id=88c17d5a847605c6&amp;search_selected=true&amp;search_pageview_id=88c17d5a847605c6&amp;ac_suggestion_list_length=1&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Polinésia Francesa</em></a>";<em>Busque passagens aéreas para Santiago</em>;Polinésia Francesa;French Polynesia;;
86;Parque Tongariro;Nova Zelândia;"Dominado pelo vulcão ativo Ruahepu, esse parque nacional na porção central da Ilha Norte neozelandesa apresenta uma paisagem distinta em cada estação do ano, dos campos de flores às encostas cobertas de neve – algumas delas se transformam em boas pistas de esqui. Considere pagar uma taxa para sobrevoar a cratera do vulcão com um hidroavião que decola das águas plácidas do Lago de Taupo, em Taupo, ao norte do parque. <a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D75%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DPolin%25C3%25A9sia%2520Francesa%3Bss_all%3D0%3Bss_raw%3DPolin%25C3%25A9sia%2520Francesa%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DManihi%26%3B&amp;ss=Nova+Zel%C3%A2ndia&amp;ssne=Polin%C3%A9sia+Francesa&amp;ssne_untouched=Polin%C3%A9sia+Francesa&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Nova+Zel%C3%A2ndia&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=152&amp;dest_type=country&amp;search_pageview_id=eca97d625b420093&amp;search_selected=true&amp;search_pageview_id=eca97d625b420093&amp;ac_suggestion_list_length=2&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em></em></a>";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D75%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DPolin%25C3%25A9sia%2520Francesa%3Bss_all%3D0%3Bss_raw%3DPolin%25C3%25A9sia%2520Francesa%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DManihi%26%3B&amp;ss=Nova+Zel%C3%A2ndia&amp;ssne=Polin%C3%A9sia+Francesa&amp;ssne_untouched=Polin%C3%A9sia+Francesa&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Nova+Zel%C3%A2ndia&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=152&amp;dest_type=country&amp;search_pageview_id=eca97d625b420093&amp;search_selected=true&amp;search_pageview_id=eca97d625b420093&amp;ac_suggestion_list_length=2&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Nova Zelândia </em></a>";<em>Busque passagens aéreas para Nova Zelândia</em>;Nova Zelândia;New Zealand;New Zealand dollar;NZD
87;Bora Bora;Polinésia Francesa;A ilha dos resorts de palafitas chiques tem mergulho com arraias e barqueiros que tocam ukelelê durante o passeio.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=605c56653290b80351df808102ac423d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3D605c56653290b80351df808102ac423d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Bora+Bora%2C+Polin%C3%A9sia+Francesa&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;map=1&amp;b_h4u_keep_filters=&amp;from_sf=1&amp;ss_raw=Bora+Bora&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=3978&amp;dest_type=region&amp;place_id_lat=-16.511746&amp;place_id_lon=-151.738387&amp;search_pageview_id=60cb8316d0b2001d&amp;search_selected=true&amp;search_pageview_id=60cb8316d0b2001d&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0#map_closed"" rel=""noopener"" target=""_blank""> <em>Busque hospedagens em Bora Bora</em></a>";<em>Busque passagens aéreas para Faa'a</em>;Polinésia Francesa;French Polynesia;;
88;Parque Nacional de Kakadu;Austrália;No norte do país, perto de Darwin, com cânions, cachoeiras e crocodilos dos quais é prudente manter distância.   Para ver tudo isso (e muito mais) é preciso fazer uma visita obrigatória ao Parque Nacional de Kakadu . Darwin, no litoral norte, é a cidade-base para a visita. Ela foi batizada assim em homenagem ao cientista homônimo, que passou por lá em 1831, quando pesquisava a vida selvagem nas ilhas do Pacífico Sul. Para se divertir em Darwin, dirija-se para a Mitchell Street, rua boêmia e central, onde estão os melhores hotéis, bares e restaurantes.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D152%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DNova%2520Zel%25C3%25A2ndia%3Bss_all%3D0%3Bss_raw%3DNova%2520Zel%25C3%25A2ndia%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DPolin%25C3%25A9sia%2520Francesa%26%3B&amp;ss=Austr%C3%A1lia&amp;ssne=Nova+Zel%C3%A2ndia&amp;ssne_untouched=Nova+Zel%C3%A2ndia&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Austr%C3%A1lia&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=13&amp;dest_type=country&amp;search_pageview_id=b6e97d7308bc0098&amp;search_selected=true&amp;search_pageview_id=b6e97d7308bc0098&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""> <em>Busque hospedagens na Austrália</em></a>";<em>Busque passagens aéreas para Darwin</em>;Austrália;Australia;Australian dollar;AUD
